date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
08:35:43	43757/43757	------	200	untouched ('OK')	text/html	date:Fri,%2016%20Sep%202016%2014:41:40%20GMT	http://www.w3schools.com/tags/att_type.asp	C:/My%20Web%20Sites/W3SKUL/www.w3schools.com/tags/att_type.html	(from http://www.w3schools.com/tags/ref_attributes.asp)
08:35:44	37829/37829	------	200	untouched ('OK')	text/html	date:Fri,%2016%20Sep%202016%2014:41:41%20GMT	http://www.w3schools.com/tags/att_usemap.asp	C:/My%20Web%20Sites/W3SKUL/www.w3schools.com/tags/att_usemap.html	(from http://www.w3schools.com/tags/ref_attributes.asp)
08:35:44	41225/41225	------	200	untouched ('OK')	text/html	date:Fri,%2016%20Sep%202016%2014:29:36%20GMT	http://www.w3schools.com/tags/att_value.asp	C:/My%20Web%20Sites/W3SKUL/www.w3schools.com/tags/att_value.html	(from http://www.w3schools.com/tags/ref_attributes.asp)
08:35:44	40839/40839	------	200	untouched ('OK')	text/html	date:Fri,%2016%20Sep%202016%2014:41:42%20GMT	http://www.w3schools.com/tags/att_width.asp	C:/My%20Web%20Sites/W3SKUL/www.w3schools.com/tags/att_width.html	(from http://www.w3schools.com/tags/ref_attributes.asp)
08:35:44	35880/35880	------	200	untouched ('OK')	text/html	date:Fri,%2016%20Sep%202016%2014:41:43%20GMT	http://www.w3schools.com/tags/att_wrap.asp	C:/My%20Web%20Sites/W3SKUL/www.w3schools.com/tags/att_wrap.html	(from http://www.w3schools.com/tags/ref_attributes.asp)
08:35:44	1134/1134	------	200	untouched ('OK')	text/css	etag:%22fbdd572f75f4d01:0%22	http://www.w3schools.com/browserref.css	C:/My%20Web%20Sites/W3SKUL/www.w3schools.com/browserref.css	(from http://www.w3schools.com/tags/ref_canvas.asp)
08:35:44	41737/41737	------	200	untouched ('OK')	text/html	date:Fri,%2016%20Sep%202016%2014:17:16%20GMT	http://www.w3schools.com/tags/canvas_fillstyle.asp	C:/My%20Web%20Sites/W3SKUL/www.w3schools.com/tags/canvas_fillstyle.html	(from http://www.w3schools.com/tags/ref_canvas.asp)
08:35:44	39993/39993	------	200	untouched ('OK')	text/html	date:Fri,%2016%20Sep%202016%2014:24:50%20GMT	http://www.w3schools.com/tags/canvas_strokestyle.asp	C:/My%20Web%20Sites/W3SKUL/www.w3schools.com/tags/canvas_strokestyle.html	(from http://www.w3schools.com/tags/ref_canvas.asp)
08:35:44	36924/36924	------	200	untouched ('OK')	text/html	date:Fri,%2016%20Sep%202016%2014:41:47%20GMT	http://www.w3schools.com/tags/canvas_shadowcolor.asp	C:/My%20Web%20Sites/W3SKUL/www.w3schools.com/tags/canvas_shadowcolor.html	(from http://www.w3schools.com/tags/ref_canvas.asp)
08:35:44	36546/36546	------	200	untouched ('OK')	text/html	date:Fri,%2016%20Sep%202016%2014:41:48%20GMT	http://www.w3schools.com/tags/canvas_shadowblur.asp	C:/My%20Web%20Sites/W3SKUL/www.w3schools.com/tags/canvas_shadowblur.html	(from http://www.w3schools.com/tags/ref_canvas.asp)
